spend($),platform,days,geography
223748,Facebook,Monday,USA
103999,Facebook,Sunday,Germany
400527,Youtube,Friday,UK
299353,Youtube,Wednesday,Sydney
309521,Twitter,Monday,Tokyo
209459,Facebook,Sunday,Brazil
144586,Facebook,Thursday,UK
315245,Instagram,Monday,USA
327262,Twitter,Saturday,Tokyo
387825,Youtube,Saturday,Germany
377774,Facebook,Monday,Germany
335521,Twitter,Friday,USA
246982,Twitter,Saturday,Brazil
290019,Instagram,Thursday,China
406951,Instagram,Wednesday,Tokyo
202791,Twitter,Friday,USA
319807,Facebook,Wednesday,Brazil
348402,Instagram,Wednesday,UK
277744,Facebook,Saturday,UK
192450,Facebook,Thursday,Brazil
464624,Facebook,Monday,USA
364850,Twitter,Sunday,China
104487,Twitter,Wednesday,Sydney
194747,Twitter,Sunday,Tokyo
462009,Facebook,Monday,USA
448837,Twitter,Tuesday,Tokyo
276177,Youtube,Wednesday,China
305115,Youtube,Thursday,China
234478,Instagram,Saturday,Germany
245057,Facebook,Saturday,Sydney
219559,Facebook,Friday,UK
192612,Instagram,Saturday,Sydney
350019,Instagram,Tuesday,UK
185214,Facebook,Saturday,USA
412251,Twitter,Sunday,USA
434947,Instagram,Monday,Sydney
119719,Instagram,Monday,Germany
396211,Instagram,Wednesday,Sydney
430476,Youtube,Sunday,Sydney
442644,Facebook,Thursday,USA
226147,Youtube,Tuesday,China
293146,Instagram,Sunday,Germany
165654,Youtube,Monday,UK
392095,Youtube,Friday,USA
133197,Facebook,Friday,Sydney
382032,Facebook,Saturday,Germany
302545,Instagram,Sunday,UK
201796,Twitter,Saturday,China
305603,Facebook,Friday,Tokyo
210056,Twitter,Sunday,Sydney
273886,Instagram,Monday,Sydney
190417,Facebook,Friday,Tokyo
436372,Facebook,Wednesday,USA
450630,Twitter,Thursday,Tokyo
175340,Youtube,Friday,Tokyo
185446,Instagram,Thursday,UK
319369,Youtube,Thursday,USA
406155,Facebook,Friday,USA
309597,Twitter,Friday,Sydney
428521,Facebook,Tuesday,China
217493,Facebook,Thursday,China
339203,Instagram,Tuesday,Brazil
269682,Instagram,Wednesday,Sydney
348880,Youtube,Saturday,UK
375126,Facebook,Friday,USA
219682,Facebook,Tuesday,Brazil
424249,Facebook,Wednesday,Brazil
329471,Twitter,Tuesday,USA
117545,Instagram,Wednesday,UK
164910,Facebook,Tuesday,Brazil
139062,Youtube,Saturday,UK
278239,Facebook,Sunday,Sydney
217984,Facebook,Sunday,Tokyo
321701,Instagram,Thursday,UK
108791,Youtube,Monday,Brazil
407117,Facebook,Friday,China
449775,Twitter,Sunday,Sydney
216587,Instagram,Tuesday,Tokyo
111906,Twitter,Wednesday,Germany
360289,Twitter,Sunday,Tokyo
437817,Twitter,Monday,Tokyo
313499,Twitter,Wednesday,China
135578,Facebook,Sunday,USA
450650,Facebook,Thursday,USA
276588,Instagram,Saturday,Brazil
118597,Youtube,Tuesday,Germany
135606,Facebook,Tuesday,Germany
288949,Twitter,Saturday,Brazil
294664,Twitter,Wednesday,China
222985,Facebook,Tuesday,Sydney
499670,Instagram,Wednesday,China
306511,Youtube,Wednesday,Tokyo
355409,Facebook,Saturday,Germany
376505,Youtube,Saturday,Germany
340989,Instagram,Tuesday,Sydney
390723,Facebook,Tuesday,Brazil
425094,Instagram,Tuesday,UK
289353,Instagram,Saturday,Germany
224056,Twitter,Friday,Germany
307505,Instagram,Sunday,Germany
400221,Twitter,Thursday,Tokyo
229150,Facebook,Wednesday,China
414946,Facebook,Tuesday,Tokyo
154151,Facebook,Tuesday,Tokyo
427521,Youtube,Wednesday,Brazil
111817,Instagram,Saturday,China
434543,Facebook,Thursday,Brazil
322723,Twitter,Friday,Brazil
431310,Facebook,Friday,Brazil
434292,Twitter,Saturday,USA
212807,Twitter,Monday,USA
400254,Twitter,Wednesday,Sydney
141191,Instagram,Friday,Brazil
277565,Twitter,Monday,Germany
317468,Facebook,Friday,USA
341063,Instagram,Wednesday,Germany
300879,Youtube,Friday,China
457475,Twitter,Wednesday,Sydney
425450,Youtube,Sunday,USA
179637,Youtube,Monday,China
373706,Twitter,Wednesday,UK
326051,Twitter,Saturday,Brazil
185282,Youtube,Sunday,Tokyo
285851,Instagram,Sunday,USA
113102,Facebook,Friday,China
227622,Youtube,Monday,Sydney
291096,Instagram,Monday,UK
323159,Youtube,Friday,Tokyo
251341,Twitter,Thursday,Sydney
486608,Twitter,Saturday,Sydney
252127,Youtube,Wednesday,Tokyo
329093,Twitter,Thursday,Tokyo
244180,Facebook,Tuesday,China
487651,Instagram,Thursday,Sydney
430669,Youtube,Sunday,Sydney
406632,Youtube,Friday,Brazil
234445,Instagram,Friday,Sydney
282897,Facebook,Monday,Brazil
493099,Instagram,Thursday,Sydney
176702,Facebook,Tuesday,UK
172109,Instagram,Wednesday,USA
327373,Instagram,Monday,Germany
328353,Instagram,Sunday,USA
383320,Youtube,Sunday,Sydney
312599,Instagram,Sunday,Sydney
133268,Facebook,Tuesday,UK
480009,Youtube,Thursday,Sydney
363134,Instagram,Tuesday,China
111448,Twitter,Sunday,USA
176076,Youtube,Saturday,UK
365205,Instagram,Monday,USA
439600,Instagram,Thursday,Germany
306624,Facebook,Friday,Tokyo
183586,Twitter,Thursday,Germany
396182,Youtube,Thursday,Brazil
174316,Facebook,Sunday,Tokyo
252484,Facebook,Wednesday,UK
103839,Facebook,Tuesday,Sydney
189305,Facebook,Wednesday,China
383681,Facebook,Friday,USA
409931,Twitter,Friday,Brazil
228821,Facebook,Saturday,Brazil
217282,Youtube,Tuesday,UK
341736,Instagram,Monday,China
166030,Twitter,Thursday,Germany
303983,Twitter,Friday,Sydney
251322,Twitter,Tuesday,USA
451187,Facebook,Friday,UK
425587,Instagram,Friday,UK
101713,Twitter,Friday,UK
387741,Facebook,Wednesday,Sydney
270544,Instagram,Saturday,Sydney
223102,Youtube,Monday,Sydney
110924,Youtube,Thursday,USA
168636,Facebook,Saturday,Sydney
161601,Facebook,Thursday,UK
379835,Instagram,Tuesday,UK
409042,Twitter,Sunday,Germany
238049,Instagram,Friday,Germany
106963,Instagram,Friday,Sydney
290714,Twitter,Friday,UK
333212,Instagram,Tuesday,Sydney
193652,Twitter,Wednesday,Brazil
216368,Instagram,Monday,Brazil
463474,Twitter,Friday,UK
418044,Youtube,Tuesday,USA
370946,Youtube,Thursday,Tokyo
484791,Twitter,Thursday,UK
407786,Instagram,Thursday,Sydney
305115,Instagram,Wednesday,Tokyo
230686,Twitter,Thursday,Tokyo
201205,Facebook,Tuesday,USA
322969,Facebook,Thursday,Germany
478073,Youtube,Friday,Germany
311170,Instagram,Thursday,USA
198346,Youtube,Friday,China
194105,Twitter,Friday,Brazil
427287,Youtube,Wednesday,China
244497,Youtube,Tuesday,Brazil
402790,Facebook,Thursday,Tokyo
