temperature (Celsius),rainfall (mm),days,geography
23,86,Tuesday,UK
16,35,Monday,Tokyo
44,95,Thursday,UK
37,55,Monday,USA
2,36,Friday,Sydney
10,79,Thursday,Brazil
32,35,Saturday,Sydney
37,65,Friday,Tokyo
35,49,Sunday,Germany
15,13,Friday,China
38,75,Thursday,China
43,31,Saturday,Germany
21,47,Monday,USA
17,34,Saturday,UK
25,43,Sunday,Tokyo
17,76,Tuesday,Tokyo
10,49,Monday,Brazil
48,79,Sunday,Germany
20,22,Tuesday,USA
25,7,Wednesday,China
28,51,Thursday,USA
16,45,Friday,Sydney
4,29,Tuesday,Tokyo
9,45,Tuesday,Tokyo
24,96,Saturday,China
15,29,Tuesday,Tokyo
33,45,Friday,UK
11,46,Wednesday,UK
8,85,Wednesday,Germany
4,83,Sunday,Tokyo
24,10,Saturday,Tokyo
37,8,Saturday,USA
3,64,Sunday,China
16,1,Monday,Tokyo
12,89,Monday,Sydney
49,45,Wednesday,Germany
26,37,Saturday,Tokyo
10,13,Wednesday,Germany
3,93,Tuesday,UK
44,8,Wednesday,UK
10,48,Wednesday,USA
5,100,Sunday,Germany
43,33,Monday,UK
31,18,Thursday,China
44,65,Sunday,USA
40,35,Saturday,Sydney
14,4,Wednesday,Sydney
48,53,Saturday,Tokyo
38,34,Friday,UK
1,65,Thursday,Tokyo
10,24,Friday,China
48,73,Thursday,China
44,65,Thursday,Sydney
6,26,Monday,USA
2,9,Monday,UK
47,62,Monday,USA
42,68,Wednesday,USA
21,18,Wednesday,Sydney
20,6,Monday,Tokyo
21,18,Wednesday,Sydney
30,12,Friday,Germany
26,96,Thursday,Germany
12,87,Saturday,Sydney
6,29,Saturday,Sydney
15,40,Tuesday,Sydney
11,61,Saturday,China
21,24,Sunday,Sydney
17,18,Wednesday,Sydney
16,35,Sunday,UK
12,86,Tuesday,Germany
13,99,Thursday,USA
3,28,Thursday,Tokyo
42,99,Sunday,Tokyo
37,22,Thursday,UK
38,12,Friday,Sydney
27,16,Wednesday,Sydney
22,43,Monday,China
27,19,Wednesday,UK
12,87,Monday,Germany
43,97,Monday,Sydney
16,70,Friday,UK
40,43,Thursday,China
0,17,Sunday,UK
47,88,Wednesday,UK
42,31,Friday,China
34,1,Sunday,USA
10,90,Saturday,Tokyo
42,73,Thursday,China
41,13,Monday,China
7,17,Wednesday,UK
15,98,Tuesday,Germany
42,87,Tuesday,UK
4,92,Tuesday,USA
32,63,Thursday,China
46,30,Thursday,USA
17,4,Tuesday,Sydney
41,95,Friday,Germany
7,9,Thursday,Tokyo
9,32,Tuesday,Tokyo
26,91,Friday,Germany
14,20,Monday,Germany
3,84,Wednesday,UK
16,42,Wednesday,Germany
43,30,Thursday,China
11,85,Monday,Brazil
8,77,Thursday,Brazil
26,72,Thursday,Brazil
23,74,Thursday,UK
49,37,Monday,Tokyo
30,41,Monday,China
21,27,Saturday,Brazil
19,75,Thursday,Brazil
40,23,Sunday,China
42,23,Friday,Tokyo
0,52,Tuesday,Sydney
23,72,Friday,China
0,8,Monday,Germany
8,38,Wednesday,Sydney
16,54,Saturday,Brazil
12,34,Monday,UK
40,86,Sunday,Sydney
35,96,Saturday,Brazil
20,56,Sunday,UK
47,26,Monday,USA
4,3,Tuesday,China
20,19,Friday,USA
47,88,Monday,USA
9,9,Monday,USA
22,30,Friday,Brazil
33,94,Wednesday,China
37,86,Monday,Tokyo
28,47,Thursday,USA
35,41,Friday,UK
33,83,Thursday,Germany
23,93,Sunday,UK
39,66,Tuesday,Sydney
6,65,Wednesday,USA
33,84,Sunday,China
23,94,Sunday,Sydney
43,67,Friday,Germany
29,68,Monday,China
29,38,Sunday,Germany
34,17,Wednesday,UK
50,1,Tuesday,USA
49,66,Saturday,Sydney
15,81,Friday,Tokyo
44,100,Monday,Tokyo
20,33,Monday,UK
3,27,Friday,China
38,22,Tuesday,USA
2,47,Saturday,Tokyo
49,29,Tuesday,Brazil
24,96,Saturday,Tokyo
27,0,Friday,Brazil
29,82,Tuesday,Sydney
46,74,Friday,Brazil
34,85,Monday,Brazil
43,7,Thursday,Germany
15,75,Thursday,Sydney
32,78,Sunday,China
39,63,Sunday,UK
19,28,Monday,China
15,16,Saturday,UK
34,73,Sunday,China
24,20,Friday,USA
22,6,Sunday,UK
50,16,Saturday,UK
3,7,Friday,USA
29,50,Thursday,Brazil
41,39,Tuesday,USA
30,14,Sunday,USA
25,58,Tuesday,Tokyo
0,20,Friday,China
0,29,Tuesday,Germany
42,28,Friday,Brazil
10,36,Tuesday,Brazil
39,74,Friday,USA
25,48,Sunday,UK
33,58,Sunday,Sydney
46,77,Saturday,Sydney
14,95,Sunday,Brazil
20,7,Saturday,UK
4,78,Friday,China
36,78,Tuesday,UK
17,2,Wednesday,Sydney
28,59,Sunday,USA
24,8,Saturday,Tokyo
48,58,Sunday,Sydney
25,57,Friday,Brazil
3,38,Friday,Germany
42,90,Thursday,China
48,30,Wednesday,Sydney
33,26,Monday,Germany
49,90,Thursday,Tokyo
33,82,Tuesday,Tokyo
17,46,Saturday,UK
40,15,Wednesday,China
2,37,Monday,Germany
4,92,Thursday,Sydney
37,74,Friday,Sydney
